% 1. Title: Classification
% 2. Sources:
% (a) Creator: Nuria Rodriguez, Eva Valls

@RELATION genre
@ATTRIBUTE the STRING
@ATTRIBUTE to STRING
@ATTRIBUTE and STRING
@ATTRIBUTE a STRING
@ATTRIBUTE of STRING
@ATTRIBUTE class {female,male}
@DATA
41,17,20,20,18,female
44,23,16,28,18,female
29,13,8,13,13,female
79,40,63,54,47,male
49,17,3,31,12,male
44,49,48,45,33,male
35,16,9,5,10,male
33,10,16,23,14,male
42,19,11,17,24,female
41,32,10,19,16,male
46,20,25,19,21,male
54,25,42,42,34,male
47,25,19,11,22,female
43,17,19,9,23,female
22,13,15,9,16,female
71,47,45,35,37,male
32,9,?,6,6,male
52,28,24,17,21,male
26,15,7,6,10,female
45,15,7,12,21,female
53,22,17,18,22,male
19,23,17,14,10,female
14,9,5,3,12,male
61,52,47,50,21,male
34,20,26,19,22,male
28,5,18,6,9,female
26,19,19,27,16,male
49,16,16,10,33,male
58,70,31,58,28,male
25,31,17,29,23,female
26,12,9,9,23,male
78,62,68,57,39,male
47,26,28,12,25,female
131,76,80,81,60,male
105,44,86,48,56,male
63,44,49,43,30,male
28,24,27,16,19,female
38,14,22,23,29,male
63,40,57,45,38,male
21,12,6,1,6,female
37,31,25,25,16,female
43,27,18,12,17,female
46,11,14,24,23,female
49,19,20,15,18,female
16,35,30,21,12,male
69,55,50,44,32,male
25,12,7,9,7,female
68,36,38,23,21,male
44,31,19,19,35,male
81,65,74,66,40,male
21,29,13,20,8,male
54,22,17,13,31,male
54,43,44,61,29,male
48,17,20,24,21,male
96,52,38,25,30,male
35,14,14,21,14,female
45,55,44,29,16,male
29,16,13,14,10,female
39,20,6,18,9,male
28,7,21,5,10,female
32,9,14,6,19,female
71,51,46,43,27,male
28,32,30,24,26,male
71,28,33,22,34,male
56,53,42,57,38,male
85,53,53,61,45,male
20,12,16,12,10,female
59,33,25,24,18,female
31,19,12,18,14,female
38,33,24,36,14,male
53,20,25,22,19,female
19,6,6,17,7,female
40,30,15,10,17,female
48,23,21,19,23,male
21,11,10,9,18,female
53,28,36,10,32,male
42,15,13,8,14,male
51,39,16,19,17,male
23,10,6,4,5,female
38,14,19,26,8,female
38,10,15,17,12,male
21,16,17,6,15,female
17,6,2,4,5,female
39,18,22,19,37,male
1,1,?,1,?,male
62,37,27,27,25,female
57,41,28,23,21,male
50,32,26,12,19,female
80,30,35,10,37,female
25,15,8,17,10,female
44,8,24,16,26,male
60,19,15,18,34,male
57,25,17,21,22,female
53,13,16,22,28,female
61,41,65,52,30,male
54,20,15,24,21,male
60,51,27,28,37,male
45,39,44,39,19,male
24,18,21,23,25,male
30,18,8,7,11,female
47,24,36,56,17,male
30,9,7,15,8,female
45,27,31,28,17,female
51,20,26,18,24,female
23,19,11,3,7,male
31,43,42,63,31,male
54,27,34,43,26,male
51,21,23,15,25,female
49,21,18,21,15,female
43,18,9,3,11,female
40,22,24,14,21,male
44,26,29,9,13,female
46,21,31,18,24,female
66,25,22,19,32,male
44,28,27,16,19,female
65,29,46,36,25,male
13,15,17,8,10,female
11,11,6,15,5,female
37,18,11,7,6,female
44,25,14,18,16,male
33,24,18,9,17,female
57,26,10,14,17,female
37,21,16,10,22,female
38,13,16,19,35,female
38,21,17,12,12,female
37,8,13,9,10,male
22,20,14,14,16,male
13,17,7,2,9,female
32,18,9,8,15,female
71,23,34,25,48,male
59,27,38,17,28,male
21,8,9,8,6,female
59,37,42,20,29,male
37,19,8,11,15,female
62,21,24,18,34,female
43,17,18,9,19,female
25,10,9,14,7,male
27,22,11,14,11,female
36,23,27,16,22,female
49,28,22,11,11,female
53,35,36,37,19,male
22,11,8,15,10,female
11,17,7,5,7,male
49,22,17,29,16,female
17,9,4,5,11,female
36,10,15,16,12,male
27,17,9,19,14,female
13,15,8,7,5,male
46,21,28,17,14,female
51,21,12,23,14,female
41,13,15,16,17,female
10,6,6,7,6,female
39,22,21,27,12,female
24,6,10,13,10,female
21,19,18,11,26,female
45,36,19,14,18,female
32,19,15,8,11,female
19,7,8,16,7,male
34,16,13,8,9,male
19,12,6,5,9,female
61,18,24,20,22,female
40,19,16,27,17,female
29,20,23,30,10,male
35,13,6,11,6,female
46,19,16,27,26,male
22,20,9,10,15,female
63,16,14,9,18,male
55,38,26,13,13,male
56,42,13,20,22,female
10,7,6,20,5,female
45,18,31,31,27,male
65,21,23,18,31,female
9,11,8,9,12,female
108,53,69,46,52,male
21,12,10,6,7,male
65,52,35,38,38,male
26,13,16,17,27,male
57,64,56,59,18,male
53,26,22,15,21,female
30,12,8,5,15,female
59,9,24,9,20,male
48,22,22,41,15,female
72,26,53,16,27,male
22,10,4,8,6,male
25,17,7,13,8,female
66,28,40,32,37,male
79,39,34,25,32,female
31,20,11,12,12,female
49,29,24,40,28,male
58,21,21,20,26,female
19,8,19,17,10,male
25,10,12,6,4,male
15,9,7,6,11,female
70,31,26,15,35,male
33,35,33,27,25,male
35,7,15,23,9,male
49,26,24,26,15,male
25,23,20,13,10,female
59,21,20,13,25,female
25,16,13,10,14,female
47,25,33,33,24,male
33,33,27,30,11,male
48,24,33,36,33,male
44,20,17,24,27,female
44,21,15,6,18,female
42,23,30,26,22,female
60,24,35,12,27,female
62,25,38,22,26,male
26,17,9,10,14,male
26,9,16,27,13,male
9,21,10,20,8,male
49,15,12,18,25,male
9,21,13,7,7,male
10,6,2,4,7,female
62,11,13,26,29,male
27,25,22,25,12,male
75,46,46,52,43,male
35,11,19,28,12,male
53,17,27,10,26,male
20,9,12,8,9,female
26,28,19,20,10,male
26,19,26,30,10,male
44,24,29,20,20,female
63,59,49,51,42,male
37,7,11,12,16,male
38,33,36,18,30,male
64,58,59,44,31,male
55,64,43,53,19,male
17,16,8,10,7,female
36,12,26,22,10,male
96,68,74,57,55,male
58,37,40,46,29,male
48,13,21,10,22,female
36,16,12,20,13,male
125,41,36,32,73,female
39,19,26,32,27,male
26,22,21,16,18,female
16,15,6,8,12,female
50,18,24,26,15,female
15,23,20,20,13,male
47,30,17,18,20,male
83,42,42,49,52,female
51,31,36,26,31,male
54,18,32,26,26,male
61,37,46,43,26,male
20,24,15,18,14,female
59,25,31,15,24,male
5,2,6,1,1,female
23,14,12,7,13,female
50,12,15,22,18,male
22,7,10,11,13,male
29,13,21,21,13,female
30,14,10,14,20,male
39,22,22,13,20,female
36,15,17,12,12,female
21,16,6,4,11,female
28,27,13,13,10,male
63,14,17,8,22,male
59,28,16,29,15,female
35,15,15,12,15,female
92,40,45,43,35,male
66,15,13,21,33,male
36,9,8,19,19,male
65,26,31,17,33,male
26,20,17,9,15,female
42,17,14,13,20,male
61,44,40,22,31,female
47,20,16,8,13,female
29,15,11,17,27,male
24,16,12,10,11,female
40,18,23,30,16,male
49,24,34,21,22,male
6,3,2,3,2,female
49,10,12,22,21,male
122,56,48,55,45,male
55,21,26,24,16,male
4,8,5,6,3,female
18,23,17,14,17,female
19,14,19,21,12,female
46,34,33,34,22,male
23,16,7,7,5,female
38,25,28,20,22,female
30,23,7,12,14,female
44,17,24,30,26,female
75,50,43,32,28,male
82,25,35,26,39,male
37,23,16,21,9,male
63,22,42,45,51,male
70,38,26,31,50,male
39,21,15,21,27,female
53,19,21,22,36,female
53,22,37,17,31,male
39,13,24,19,15,male
9,11,6,9,5,female
43,22,17,12,19,male
84,47,75,42,36,male
186,161,151,83,68,male
50,19,20,22,31,female
63,32,35,15,22,male
32,35,28,22,20,female
23,10,15,16,20,male
23,11,8,10,9,female
30,12,16,11,23,female
26,11,9,8,9,female
63,48,35,37,26,male
121,42,37,24,44,female
37,14,15,18,22,male
59,22,39,27,29,female
16,5,6,5,10,female
31,22,33,19,29,female
26,16,23,22,21,male
40,21,27,19,19,female
34,24,26,13,17,female
42,47,28,22,27,male
43,22,25,19,19,male
51,37,31,15,26,female
26,13,7,9,12,female
33,14,22,12,13,female
26,5,15,7,19,male
44,31,24,33,25,male
12,9,22,10,12,female
26,12,13,12,17,male
37,16,20,9,8,female
61,30,23,15,22,female
48,22,22,25,13,female
20,26,7,12,17,female
41,12,5,11,15,female
62,35,39,24,28,male
28,19,22,19,9,female
45,31,19,13,14,male
80,36,40,19,28,female
131,44,66,32,49,male
57,21,21,31,30,male
31,32,23,35,14,female
53,17,27,28,19,female
26,25,30,14,9,female
38,35,31,19,20,female
38,19,27,18,14,male
